doi,given_name,family_name
10.3390/molecules28186548,Nazeer Ahmad,Khan
10.1186/s12882-023-03262-7,Xiao,Liu
10.1186/s12882-023-03262-7,Shaomin,Gong
10.1186/s12882-023-03262-7,Yichun,Ning
10.1186/s12882-023-03262-7,Yang,Li
10.1186/s12882-023-03262-7,Huili,Zhou
10.1186/s12882-023-03262-7,Luna,He
10.1186/s12882-023-03262-7,Lin,Lin
10.1186/s12882-023-03262-7,Shi,Jin
10.1186/s12882-023-03262-7,Ziyan,Shen
10.1186/s12882-023-03262-7,Bowen,Zhu
10.1186/s12882-023-03262-7,Fang,Li
10.1186/s12882-023-03262-7,Jie,Li
10.1186/s12882-023-03262-7,Xiao,Tan
10.1186/s12882-023-03262-7,Xiaoyan,Jiao
10.1186/s12882-023-03262-7,Yiqin,Shi
10.1186/s12882-023-03262-7,Xiaoqiang,Ding
10.3390/bioengineering10040444,Ruder,Novak
10.3390/bioengineering10040444,Grgur,Salai
10.3390/bioengineering10040444,Stela,Hrkac
10.3390/bioengineering10040444,Ivana Kovacevic,Vojtusek
10.3390/bioengineering10040444,Lovorka,Grgurevic
10.4239/wjd.v14.i6.883,Zhi-Hao,Lin
10.4239/wjd.v14.i6.883,Sheng-Feng,Dai
10.4239/wjd.v14.i6.883,Jian-Nan,Zhao
10.4239/wjd.v14.i6.883,Yue,Jiang
10.1021/acs.bioconjchem.2c00057,Janeala J.,Morsby
10.1021/acs.bioconjchem.2c00057,Bradley D.,Smith
10.1128/jb.00428-22,Anna,Weaver
10.1128/jb.00428-22,Atsushi,Taguchi
10.1128/jb.00428-22,Tobias,Dörr
10.4103/1673-5374.377606,Courtney J.,Rouse
10.4103/1673-5374.377606,Victoria N.,Jensen
10.4103/1673-5374.377606,Coy D.,Heldermon
10.1007/s42773-021-00093-3,Thomas F.,Ducey
10.1007/s42773-021-00093-3,Jeffrey M.,Novak
10.1007/s42773-021-00093-3,Gilbert C.,Sigua
10.1007/s42773-021-00093-3,James A.,Ippolito
10.1007/s42773-021-00093-3,Hannah C.,Rushmiller
10.1007/s42773-021-00093-3,Donald W.,Watts
10.1007/s42773-021-00093-3,Kristin M.,Trippe
10.1007/s42773-021-00093-3,Kurt A.,Spokas
10.1007/s42773-021-00093-3,Kenneth C.,Stone
10.1007/s42773-021-00093-3,Mark G.,Johnson
10.2215/CJN.15951219,Richard A.,Zager
10.2215/CJN.15951219,Ali C.M.,Johnson
10.2215/CJN.15951219,Alvaro,Guillem
10.2215/CJN.15951219,Jeff,Keyser
10.2215/CJN.15951219,Bhupinder,Singh
10.1111/iej.13911,Ronald,Ordinola‐Zapata
10.1111/iej.13911,Massimo,Costalonga
10.1111/iej.13911,Matthew,Dietz
10.1111/iej.13911,Bruno P.,Lima
